                   n          analytical          reccurence      relative error           abs error
                   0                   1                   1                   0                   0
                   1            0.333333            0.333333                   0                   0
                   2            0.111111            0.111111         4.02331e-07         4.47035e-08
                   3            0.037037           0.0370374         8.95187e-06         3.31551e-07
                   4           0.0123457           0.0123477         0.000163472         2.01818e-06
                   5          0.00411523          0.00412735          0.00294488         1.21188e-05
                   6          0.00137174          0.00144446           0.0530131         7.27203e-05
                   7         0.000457247         0.000893572            0.954242         0.000436325
                   8         0.000152416          0.00277037             17.1764          0.00261795
                   9         5.08053e-05           0.0157585             309.175           0.0157077
                  10         1.69351e-05           0.0942632             5565.14           0.0942462
                  11         5.64503e-06            0.565483              100173            0.565477
                  12         1.88168e-06             3.39287         1.80311e+06             3.39286
                  13         6.27226e-07             20.3572         3.24559e+07             20.3572
                  14         2.09075e-07             122.143         5.84207e+08             122.143
                  15         6.96918e-08             732.859         1.05157e+10             732.859
                  16         2.32306e-08             4397.15         1.89283e+11             4397.15
                  17         7.74353e-09             26382.9         3.40709e+12             26382.9
                  18         2.58118e-09              158298         6.13277e+13              158298
                  19         8.60392e-10              949785          1.1039e+15              949785
                  20         2.86797e-10         5.69871e+06         1.98702e+16         5.69871e+06
